species,soil
Astragalus_nutriosensis,kastanozems
Astragalus_monspessulanus,cambisols
Astragalus_miniatus,kastanozems
Phyllolobium_tribulifolium,leptosols
Astragalus_nutans,luvisols
Astragalus_susianus,cambisols
Astragalus_oxyphysus,kastanozems
Astragalus_terminalis,chernozems
Astragalus_striatiflorus,calcisols
Astragalus_mattam,leptosols
Astragalus_sabulosus,calcisols
Astragalus_punctatus,calcisols
Astragalus_peduncularis,chernozems
Astragalus_leptocarpus,luvisols
Astragalus_missouriensis,kastanozems
Astragalus_applegatii,kastanozems
Astragalus_lyallii,kastanozems
Astragalus_rupifragus,chernozems
Astragalus_cephalanthus,calcisols
Astragalus_sprucei,andosols
Astragalus_pinetorum,leptosols
Astragalus_exscapus,cambisols
Astragalus_serpens,chernozems
Smirnowia_turkestana,regosols
Astragalus_noziensis,leptosols
Astragalus_platysematus,regosols
Astragalus_lipskyi,regosols
Astragalus_trichanthus,calcisols
Astragalus_tibetanus,cambisols
Astragalus_solandri,leptosols
Astragalus_nutzotinensis,cambisols
Astragalus_troglodytus,luvisols
Astragalus_malacus,kastanozems
Astragalus_polygala,cambisols
Astragalus_glumaceus,calcisols
Oxytropis_ochotensis,cryosols
Astragalus_cobrensis,luvisols
Astracantha_cerasocrena,calcisols
Astragalus_puberulus,cambisols
Astragalus_curvicaulis,leptosols
Astragalus_chloodes,calcisols
Astracantha_cretica,cambisols
Oxytropis_nana,calcisols
Astragalus_dasyanthus,chernozems
Astragalus_nivicola,cambisols
Oxytropis_ciliata,kastanozems
Astragalus_lasiosemius,regosols
Astragalus_piutensis,kastanozems
Astragalus_gypsodes,calcisols
Astragalus_burkartii,cambisols
Astragalus_lentiformis,kastanozems
Astragalus_bodinii,cambisols
Astracantha_stenonychioides,cambisols
Astragalus_brachylobus,kastanozems
Astragalus_kuschkensis,regosols
Astragalus_obcordatus,acrisols
Astragalus_pectinatus,kastanozems
Astragalus_traskiae,cambisols
Astragalus_gambelianus,luvisols
Astragalus_hyrcanus,kastanozems
Astragalus_balfourianus,luvisols
Astragalus_lemmonii,kastanozems
Astragalus_malacoides,calcisols
Astragalus_giganteus,regosols
Astragalus_douglasii,kastanozems
Astragalus_pardalinus,calcisols
Astragalus_reduncus,kastanozems
Astragalus_mahoschanicus,leptosols
Astragalus_grayi,calcisols
Astragalus_mesites,leptosols
Astragalus_shinanensis,podzols
Astracantha_microcephala,cambisols
Astragalus_aequalis,kastanozems
Astragalus_versicolor,cambisols
Oxytropis_sericea,kastanozems
Astragalus_bourgaeanus,cambisols
Astragalus_deterior,luvisols
Astragalus_naturitensis,calcisols
Astragalus_lanuginosus,cambisols
Astragalus_schrenkianus,kastanozems
Astragalus_rhacodes,kastanozems
Astragalus_anisacanthus,calcisols
Astragalus_obscurus,kastanozems
Astragalus_curtipes,kastanozems
Astragalus_neuquenensis,regosols
Astragalus_tephrolobus,cryosols
Astragalus_succumbens,cambisols
Astragalus_proximus,luvisols
Astragalus_hemsleyi,calcisols
Astragalus_vallaris,kastanozems
Astragalus_scleroxylon,solonetz
Astragalus_nematodes,calcisols
Astragalus_weddellianus,cambisols
Astragalus_dactylocarpus,solonchaks
Astragalus_nidularius,calcisols
Astragalus_iodopetalus,luvisols
Astragalus_arganaticus,kastanozems
Astragalus_curviflorus,regosols
Astragalus_stipulatus,luvisols
Tragacantha_fasciculifolia,regosols
Astragalus_reventus,kastanozems
Astragalus_magdalenae,arenosols
Astragalus_crotalariae,solonchaks
Astragalus_dilutus,kastanozems
Astragalus_gombo,leptosols
Astragalus_physodes,kastanozems
Astragalus_oxyphysopsis,regosols
Astragalus_armatus,leptosols
Astragalus_scaberrimus,cambisols
Astragalus_sparsiflorus,luvisols
Astragalus_tolucanus,luvisols
Astragalus_scopulorum,chernozems
Astragalus_cornutus,chernozems
Astragalus_californicus,kastanozems
Astragalus_karakugensis,calcisols
Astragalus_lentiginosus,calcisols
Astragalus_ibrahimianus,leptosols
Astragalus_edmondstonei,leptosols
Astragalus_lupulinus,cambisols
Astragalus_nudisiliquus,cambisols
Astragalus_aduncus,cambisols
Astragalus_newberryi,luvisols
Astragalus_kolymensis,cambisols
Oxytropis_lambertii,kastanozems
Astragalus_retamocarpus,regosols
Astragalus_scoparius,kastanozems
Astragalus_olchonensis,luvisols
Astragalus_chamaeleuce,calcisols
Astragalus_physocarpus,kastanozems
Astragalus_wittmannii,calcisols
Astragalus_flexuosus,chernozems
Astragalus_nothoxys,luvisols
Astragalus_villosus,acrisols
Clianthus_puniceus,cambisols
Astragalus_valerianensis,cambisols
Astragalus_globiceps,regosols
Astragalus_neurophyllus,chernozems
Astragalus_molybdenus,cambisols
Astragalus_piletocladus,solonchaks
Eremosparton_flaccidum,calcisols
Astragalus_tenuifolius,leptosols
Astragalus_nyensis,calcisols
Astragalus_tener,vertisols
Astragalus_pseudoutriger,cambisols
Astragalus_kuramensis,luvisols
Oxytropis_recognita,cryosols
Astragalus_taschkendicus,calcisols
Astragalus_dahuricus,cambisols
Astragalus_porrectus,solonetz
Astragalus_tyghensis,kastanozems
Astragalus_alpinus,cambisols
Astracantha_granatensis,cambisols
Swainsona_formosa,cambisols
Astragalus_caraganae,cambisols
Astragalus_castetteri,regosols
Astragalus_albens,luvisols
Astragalus_sieberi,solonchaks
Astragalus_contortuplicatus,kastanozems
Astragalus_carminis,leptosols
Astragalus_shortianus,kastanozems
Astragalus_norvegicus,cambisols
Astragalus_funereus,calcisols
Astragalus_glycyphyllos,cambisols
Astragalus_inversus,kastanozems
Astragalus_maurorum,leptosols
Astragalus_peregrinus,solonchaks
