"guid","eventDate","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","scientificName","order","genus","specificEpithet","validName","match","source","x"
"1094427173",NA,NA,"30.49","34.62",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094452739",NA,NA,"31.61","35.22",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094449052",NA,NA,"30.41","34.54",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094462006",NA,NA,"31.35","35.11",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094425041",NA,NA,"30.51","34.59",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094458156",NA,NA,"31.34","35.11",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094431717",NA,NA,"31.33","35.09",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094431649",NA,NA,"30.59","34.72",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094428913",NA,NA,"30.47","34.6",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094426747",NA,NA,"30.53","34.6",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094435381",NA,NA,"30.49","34.55",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094460627",NA,NA,"31.34","35.04",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094433996",NA,NA,"31.35","35.1",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094431372",NA,NA,"31.35","35.09",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"1094431369",NA,NA,"31.34","35.1",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"2597874222","2020-04-03T11:49:00",NA,"31.31054","35.11344","57","Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"438220793","1937-06-10T00:00:00",NA,"36.2064","37.15421",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
"439553438","1937-06-10T00:00:00",NA,"36.21168","37.1473",NA,"Astragalus bethlehemiticus Boiss.","Fabales","Astragalus","bethlehemiticus","Astracantha bethlehemitica","Syn","gbif",NA
