Name,GenesAt50pct,ParalogWarnings
Astragalus_arpilobus_P074_WA07,68,1
Astragalus_havianus_P013_WG02,62,0
Astragalus_hemsleyi_P071_WA05,67,0
Astragalus_heptapotamicus_P009_WF05,65,0
Astragalus_heterodontus_P073_WA08,56,0
Astragalus_hidalgensis_P026_WB08,66,3
Astragalus_himalayanus_P010_WF02,58,0
Astragalus_hispidulus_P014_WB04,46,0
Astragalus_hissaricus_P009_WE12,43,0
Astragalus_hissaricus_P009_WF01,43,0
Astragalus_hoantchy_P072_WB07,68,0
Astragalus_hoffmeisteri_P064_WA09,73,0
Astragalus_holmgreniorum_P073_WG12,65,5
Astragalus_hololeios_P010_WE11,71,1
Astragalus_hoodianus_P073_WG11,60,2
Astragalus_hornii_P026_WB09,50,0
Astragalus_hosackioides_P074_WF03,73,2
Astragalus_howellii_P072_WG02,65,3
Astragalus_humillimus_P114_WD06,66,7
Astragalus_humistratus_P073_WG09,62,3
Astragalus_hyalolepis_P075_WH02,66,0
Astragalus_hypoglottis_P071_WE03,61,0
Astragalus_hypoleucus_P026_WB10,15,0
Astragalus_hypoxylus_P026_WC02,47,0
Astragalus_hypsogenus_P070_WC04,22,0
Astragalus_hyrcanus_P071_WE04,61,0
Astragalus_ibicinus_P077_WC09,77,0
Astragalus_ibrahimianus_P014_WB05,58,0
Astragalus_idrietorum_P019_WF06,65,3
Astragalus_igniarius_P071_WE07,69,1
Astragalus_illinii_P065_WF04,43,0
Astragalus_incanus_P014_WC10,3,0
Astragalus_incertus_P075_WH07,57,0
Astragalus_indurescens_P073_WE04,69,0
Astragalus_inflexus_P073_WH03,61,3
Astragalus_pseudoadsurgens_P013_WE05,52,0
Astragalus_insularis_P019_WF07,63,2
Astragalus_inversus_P072_WE05,68,6
Astragalus_inyoensis_P072_WE04,64,4
Astragalus_lentiginosus_P026_WB01,56,0
Astragalus_iodopetalus_P114_WC08,72,6
Astragalus_iselyi_P073_WG10,66,4
Astragalus_iskanderi_P072_WB03,63,0
Astragalus_jaegerianus_P073_WG08,58,3
Astragalus_jaliscensis_P018_WH06,53,0
Astragalus_jejunus_P073_WG07,65,3
Astragalus_johannis-howellii_P077_WB02,60,4
Astragalus_johannis_P072_WH12,70,0
Astragalus_josephi_P010_WD12,50,0
Astragalus_kabadianus_P010_WE03,59,0
